git_hash,date_assessed,year,site,sample_id,nest,notes,
2fb969a,2/8/2023,2020,StartMel,1,F,,
2fb969a,2/8/2023,2020,StartMel,2,F,,
2fb969a,2/8/2023,2020,StartMel,3,T,"never a bird, chick cluster gets detected as a bird",
2fb969a,2/8/2023,2020,StartMel,4,F,,
2fb969a,2/8/2023,2020,StartMel,5,F,,
2fb969a,2/8/2023,2020,StartMel,6,F,roosting,
2fb969a,2/8/2023,2020,StartMel,7,F,,
2fb969a,2/8/2023,2020,StartMel,8,F,roosting,
2fb969a,2/8/2023,2020,StartMel,9,F,roosting,
2fb969a,2/8/2023,2020,StartMel,10,F,,
2fb969a,2/8/2023,2020,StartMel,11,T,,
2fb969a,2/8/2023,2020,StartMel,12,F,,
2fb969a,2/8/2023,2020,StartMel,13,T,,
2fb969a,2/8/2023,2020,StartMel,14,F,roosting,
2fb969a,2/8/2023,2020,StartMel,15,F,,
2fb969a,2/8/2023,2020,StartMel,16,T,,
2fb969a,2/8/2023,2020,StartMel,17,F,,
2fb969a,2/8/2023,2020,StartMel,18,T,,
2fb969a,2/8/2023,2020,StartMel,19,F,,
2fb969a,2/8/2023,2020,StartMel,20,T,,
2fb969a,2/8/2023,2020,StartMel,21,T,,
2fb969a,2/8/2023,2020,StartMel,22,T,,
2fb969a,2/8/2023,2020,StartMel,23,T,,
2fb969a,2/8/2023,2020,StartMel,24,F,roosting,
2fb969a,2/8/2023,2020,StartMel,25,F,,
2fb969a,2/8/2023,2020,StartMel,26,U,"based on activity freq I'd say yes, but bird postures seems to suggest roosting. ",
2fb969a,2/8/2023,2020,StartMel,27,F,,
2fb969a,2/8/2023,2020,StartMel,28,T,,
2fb969a,2/8/2023,2020,StartMel,29,T,,
2fb969a,2/8/2023,2020,StartMel,30,T,,
2fb969a,2/8/2023,2020,StartMel,31,F,,
2fb969a,2/8/2023,2020,StartMel,32,F,,
2fb969a,2/8/2023,2020,StartMel,33,F,roosting - 2 consec,
2fb969a,2/8/2023,2020,StartMel,34,F,,
2fb969a,2/8/2023,2020,StartMel,35,F,,
2fb969a,2/8/2023,2020,StartMel,36,F,roosting - 2 consec,
2fb969a,2/8/2023,2020,StartMel,37,F,,
2fb969a,2/8/2023,2020,StartMel,38,F,,
2fb969a,2/8/2023,2020,StartMel,39,F,,
2fb969a,2/8/2023,2020,StartMel,40,T,,
2fb969a,2/8/2023,2020,StartMel,41,T,,
2fb969a,2/8/2023,2020,StartMel,42,F,,
2fb969a,2/8/2023,2020,StartMel,43,T,,
2fb969a,2/8/2023,2020,StartMel,44,T,,
2fb969a,2/8/2023,2020,StartMel,45,T,,
2fb969a,2/8/2023,2020,StartMel,46,U,"based on activity freq I'd say yes, but bird postures seems to suggest roosting.",
2fb969a,2/8/2023,2020,StartMel,47,F,,
2fb969a,2/8/2023,2020,StartMel,48,F,,
2fb969a,2/8/2023,2020,StartMel,49,F,,
2fb969a,2/8/2023,2020,StartMel,50,F,,
3fbfc467,2/9/2023,2020,JetportSouth,1,T,"jumping is terrible. Picked the sircle location at 4-07 at ""the bird"". It spends most of time near there. All images are of nests, just different ones.",
3fbfc467,2/9/2023,2020,JetportSouth,2,T,,
3fbfc467,2/9/2023,2020,JetportSouth,3,T,jumps. most of time lands on same nest.,
3fbfc467,2/9/2023,2020,JetportSouth,4,F,,
3fbfc467,2/9/2023,2020,JetportSouth,5,T,,
3fbfc467,2/9/2023,2020,JetportSouth,6,F,,
3fbfc467,2/9/2023,2020,JetportSouth,7,U,jumps between branch where a bird sits to a nest. ,
3fbfc467,2/9/2023,2020,JetportSouth,8,T,,
3fbfc467,2/9/2023,2020,JetportSouth,9,T,fairly consistent location,
3fbfc467,2/9/2023,2020,JetportSouth,10,F,,
3fbfc467,2/9/2023,2020,JetportSouth,11,U,bounces between nest and branch fairly consistently. Can't tell focus,
3fbfc467,2/9/2023,2020,JetportSouth,12,F,,
3fbfc467,2/9/2023,2020,JetportSouth,13,T,"two images, seems like nest, one image in circle other has a bird detection dead center.",
3fbfc467,2/9/2023,2020,JetportSouth,14,T,,
3fbfc467,2/9/2023,2020,JetportSouth,15,T,,
3fbfc467,2/9/2023,2020,JetportSouth,16,T,jumps a lot but bird in bullseye was on nest,
3fbfc467,2/9/2023,2020,JetportSouth,17,F,,
3fbfc467,2/9/2023,2020,JetportSouth,18,F,,
3fbfc467,2/9/2023,2020,JetportSouth,19,U,bounces too much and no bullseye bird obvious,
3fbfc467,2/9/2023,2020,JetportSouth,20,T,,
3fbfc467,2/9/2023,2020,JetportSouth,21,F,no nests where bulleye bird was seen,
3fbfc467,2/9/2023,2020,JetportSouth,22,T,,
3fbfc467,2/9/2023,2020,JetportSouth,23,T,,
3fbfc467,2/9/2023,2020,JetportSouth,24,T,,
3fbfc467,2/9/2023,2020,JetportSouth,25,T,,
3fbfc467,2/9/2023,2020,JetportSouth,26,U,,
3fbfc467,2/9/2023,2020,JetportSouth,27,T,most images center on bird where there is a clear nest in one image,
3fbfc467,2/9/2023,2020,JetportSouth,28,T,"no bullseyes,4/7 image seems like sitting on nest",
3fbfc467,2/9/2023,2020,JetportSouth,29,F,,
3fbfc467,2/9/2023,2020,JetportSouth,30,T,,
3fbfc467,2/9/2023,2020,JetportSouth,31,F,,
3fbfc467,2/9/2023,2020,JetportSouth,32,U,I can't tell if nesting or roosting,
3fbfc467,2/9/2023,2020,JetportSouth,33,T,"circle focused on nest. bullseye sits on bird on nest to south. So, yes?",
3fbfc467,2/9/2023,2020,JetportSouth,34,T,bullseye bird on nest,
3fbfc467,2/9/2023,2020,JetportSouth,35,T,pretty stable image,
3fbfc467,2/9/2023,2020,JetportSouth,36,T,,
3fbfc467,2/9/2023,2020,JetportSouth,37,T,"no bullseye bird, but nest in circle",
3fbfc467,2/9/2023,2020,JetportSouth,38,F,,
3fbfc467,2/9/2023,2020,JetportSouth,39,F,,
3fbfc467,2/9/2023,2020,JetportSouth,40,F,,
3fbfc467,2/9/2023,2020,JetportSouth,41,F,,
3fbfc467,2/9/2023,2020,JetportSouth,42,X,,
3fbfc467,2/9/2023,2020,JetportSouth,43,T,,
